indication_mesh_id,indication_mesh_term,n_total,n_included,n_linked,n_A,n_B,included_A,included_B,retention_rate,linkage_rate,retention_A,retention_B
D019896,alpha 1-Antitrypsin Deficiency,1,1,1,1,0,1,0,1.0,1.0,1.0,
D019966,Substance-Related Disorders,1,1,1,0,1,0,1,1.0,1.0,,1.0
D019973,Alcohol-Related Disorders,1,1,1,0,1,0,1,1.0,1.0,,1.0
D020152,Antithrombin III Deficiency,1,0,0,1,0,0,0,0.0,0.0,0.0,
D020176,Tyrosinemias,1,0,0,1,0,0,0,0.0,0.0,0.0,
D020177,Idiopathic Hypersomnia,1,1,1,0,1,0,1,1.0,1.0,,1.0
D020388,"Muscular Dystrophy, Duchenne",1,0,0,1,0,0,0,0.0,0.0,0.0,
D000795,Fabry Disease,1,0,0,1,0,0,0,0.0,0.0,0.0,
D001145,"Arrhythmias, Cardiac",1,1,1,0,1,0,1,1.0,1.0,,1.0
D001171,"Arthritis, Juvenile",1,1,1,1,0,1,0,1.0,1.0,1.0,
D001478,Basal Cell Nevus Syndrome,1,0,0,0,1,0,0,0.0,0.0,,0.0
D001656,Biliary Atresia,1,0,0,0,1,0,0,0.0,0.0,,0.0
D001850,"Bone Diseases, Infectious",1,1,1,0,1,0,1,1.0,1.0,,1.0
D001851,"Bone Diseases, Metabolic",1,1,1,0,1,0,1,1.0,1.0,,1.0
D029481,"Bronchitis, Chronic",1,1,1,1,0,1,0,1.0,1.0,1.0,
D038261,Alexander Disease,1,0,0,0,1,0,0,0.0,0.0,,0.0
D041441,Retinoschisis,1,0,0,0,1,0,0,0.0,0.0,,0.0
