ti_uid,ancestry,allocated_n,total_n,p
CD40-D003424,East Asian,11952.0,242818.0,0.04922205108352758
CD40-D003424,European,225896.0,242818.0,0.9303099440733389
CD40-D003424,Middle Eastern,1383.0,242818.0,0.005695623882908186
CD40-D003424,South Asian,3587.0,242818.0,0.014772380960225354
CD40-D006689,European,27750.0,27750.0,1.0
CD40-D008180,African,5422.0,27574.0,0.19663451077101618
CD40-D008180,European,18264.0,27574.0,0.6623630956698339
CD40-D008180,Hispanic/Latin American,3888.0,27574.0,0.14100239355914992
CD40-D008181,African,5422.0,27574.0,0.19663451077101618
CD40-D008181,European,18264.0,27574.0,0.6623630956698339
CD40-D008181,Hispanic/Latin American,3888.0,27574.0,0.14100239355914992
CD40-D012859,African,2308.0,685927.0,0.0033647895475757625
CD40-D012859,East Asian,320599.0,685927.0,0.4673952184416126
CD40-D012859,European,363020.0,685927.0,0.5292399920108116
CD6-D009103,European,118222.0,118222.0,1.0
CD80-D008180,East Asian,15389.0,15389.0,1.0
CDK6-D011471,African,21354.0,234253.0,0.09115785069988432
CDK6-D011471,East Asian,27420.0,234253.0,0.11705292995180425
CDK6-D011471,European,177526.0,234253.0,0.7578387469957696
CDK6-D011471,Hispanic/Latin American,7953.0,234253.0,0.03395047235254191
CDKN1A-D015179,East Asian,3481.0,151398.0,0.02299237770644262
CDKN1A-D015179,European,147917.0,151398.0,0.9770076222935574
CDKN2A-D011471,African,31817.0,461547.0,0.06893555802550987
CDKN2A-D011471,East Asian,34374.0,461547.0,0.07447562220098929
CDKN2A-D011471,European,385323.0,461547.0,0.8348510552554778
CDKN2A-D011471,Hispanic/Latin American,10033.0,461547.0,0.021737764518023082
CEBPB-D001943,East Asian,84874.0,554418.0,0.15308666024551873
CEBPB-D001943,European,457902.0,554418.0,0.8259147430278238
CEBPB-D001943,Other Asian,11642.0,554418.0,0.020998596726657503
CETP-D006937,African,148295.0,8363149.0,0.017731957185026837
CETP-D006937,East Asian,1229248.5,8363149.0,0.14698392913960998
CETP-D006937,European,6863570.0,8363149.0,0.8206920622841947
CETP-D006937,Hispanic/Latin American,92596.0,8363149.0,0.011071906048786169
CETP-D006937,Native American,604.0,8363149.0,7.222159978256994e-05
CETP-D006937,Oceanian,1915.0,8363149.0,0.00022898073440996925
CETP-D006937,Other Asian,4694.5,8363149.0,0.0005613316228133685
CETP-D006937,South Asian,22226.0,8363149.0,0.0026576113853764892
CETP-D006938,African,148295.0,8363149.0,0.017731957185026837
CETP-D006938,East Asian,1229248.5,8363149.0,0.14698392913960998
CETP-D006938,European,6863570.0,8363149.0,0.8206920622841947
CETP-D006938,Hispanic/Latin American,92596.0,8363149.0,0.011071906048786169
CETP-D006938,Native American,604.0,8363149.0,7.222159978256994e-05
CETP-D006938,Oceanian,1915.0,8363149.0,0.00022898073440996925
CETP-D006938,Other Asian,4694.5,8363149.0,0.0005613316228133685
CETP-D006938,South Asian,22226.0,8363149.0,0.0026576113853764892
CETP-D006949,African,148295.0,8363149.0,0.017731957185026837
CETP-D006949,East Asian,1229248.5,8363149.0,0.14698392913960998
CETP-D006949,European,6863570.0,8363149.0,0.8206920622841947
CETP-D006949,Hispanic/Latin American,92596.0,8363149.0,0.011071906048786169
CETP-D006949,Native American,604.0,8363149.0,7.222159978256994e-05
CETP-D006949,Oceanian,1915.0,8363149.0,0.00022898073440996925
CETP-D006949,Other Asian,4694.5,8363149.0,0.0005613316228133685
CETP-D006949,South Asian,22226.0,8363149.0,0.0026576113853764892
CETP-D050197,European,10586.0,10586.0,1.0
CHEK2-D006258,East Asian,26410.0,26410.0,1.0
CHEK2-D010051,European,108968.0,108968.0,1.0
CHEK2-D011471,European,140254.0,140254.0,1.0
CHEK2-D015179,East Asian,26410.0,26410.0,1.0
CHRM3-D001249,European,1248069.0,1248069.0,1.0
CHRM3-D029424,European,1248069.0,1248069.0,1.0
CHRM3-D065631,European,1248069.0,1248069.0,1.0
CHRM4-D011618,East Asian,81708.0,1512703.0,0.05401456862318644
CHRM4-D011618,European,1426806.0,1512703.0,0.9432162162698163
CHRM4-D011618,Other,1097.0,1512703.0,0.0007251919246540795
CHRM4-D011618,South Asian,3092.0,1512703.0,0.00204402318234313
CHRM4-D012559,East Asian,81708.0,1512703.0,0.05401456862318644
CHRM4-D012559,European,1426806.0,1512703.0,0.9432162162698163
CHRM4-D012559,Other,1097.0,1512703.0,0.0007251919246540795
CHRM4-D012559,South Asian,3092.0,1512703.0,0.00204402318234313
CHRNA3-D014029,European,40386.0,40386.0,1.0
CHRNA4-D014029,African,11787.0,114397.0,0.10303591877409372
CHRNA4-D014029,European,102610.0,114397.0,0.8969640812259063
CHRNB4-D006973,European,331204.0,331204.0,1.0
COL4A1-D015179,East Asian,167691.0,730660.0,0.22950619987408644
COL4A1-D015179,European,562969.0,730660.0,0.7704938001259135
CRHR1-D000072861,European,2466832.0,2466832.0,1.0
CRHR1-D001008,European,2466832.0,2466832.0,1.0
CRP-D007249,African,20763.5,2029367.0,0.010231515541545713
CRP-D007249,East Asian,212220.5,2029367.0,0.104574726996152
CRP-D007249,European,1745804.0,2029367.0,0.8602702221924373
CRP-D007249,Hispanic/Latin American,38215.5,2029367.0,0.018831241465934945
CRP-D007249,Native American,1113.0,2029367.0,0.0005484468802340828
