exposure,model_id,n,n_A,n_B,exposure_sd,observed_beta,observed_cluster_se,observed_or_per_unit,observed_or_per_sd,target_power,alpha,mde_beta_per_unit,mde_or_per_unit,mde_beta_per_sd,mde_or_per_sd,effect_or_per_sd,approximate_power
has_south_asian,M3,790,157,633,0.424544182519218,0.23799112718593865,0.23561507053487685,1.2686979358540855,1.1063184028774589,0.8,0.05,0.6600956987751554,1.9349775005185579,0.2802397888209503,1.3234471221172501,,
has_south_asian,M3,790,157,633,0.424544182519218,0.23799112718593865,0.23561507053487685,1.2686979358540855,1.1063184028774589,,0.05,,,,,1.1,0.15872517300260958
has_south_asian,M3,790,157,633,0.424544182519218,0.23799112718593865,0.23561507053487685,1.2686979358540855,1.1063184028774589,,0.05,,,,,1.2,0.44548345590012195
has_south_asian,M3,790,157,633,0.424544182519218,0.23799112718593865,0.23561507053487685,1.2686979358540855,1.1063184028774589,,0.05,,,,,1.25,0.6067508677925533
has_south_asian,M3,790,157,633,0.424544182519218,0.23799112718593865,0.23561507053487685,1.2686979358540855,1.1063184028774589,,0.05,,,,,1.5,0.9818482320043139
has_south_asian,M4,790,157,633,0.424544182519218,0.08624219463062073,0.3016017241940576,1.0900703055119014,1.037292156550509,0.8,0.05,0.8449629322594563,2.327891523291934,0.3587240973351323,1.4315017919229025,,
has_south_asian,M4,790,157,633,0.424544182519218,0.08624219463062073,0.3016017241940576,1.0900703055119014,1.037292156550509,,0.05,,,,,1.1,0.11548994397027679
has_south_asian,M4,790,157,633,0.424544182519218,0.08624219463062073,0.3016017241940576,1.0900703055119014,1.037292156550509,,0.05,,,,,1.2,0.2963165821106455
has_south_asian,M4,790,157,633,0.424544182519218,0.08624219463062073,0.3016017241940576,1.0900703055119014,1.037292156550509,,0.05,,,,,1.25,0.41411578679421335
has_south_asian,M4,790,157,633,0.424544182519218,0.08624219463062073,0.3016017241940576,1.0900703055119014,1.037292156550509,,0.05,,,,,1.5,0.8862189809058927
