==============================================================================
STEP 15E — CROSS-ANCESTRY COLOCALIZATION
==============================================================================
Primary comparisons: 538
Powered in both ancestries: 17
Pending caches: 535
Priors: p1=0.0001, p2=0.0001, p12=1e-06, 1e-05, 0.0001
Primary p12: 1e-05
==============================================================================
[317/535] cmp_4815e2c237d6b2d2 | NOX4 | CSA
[318/535] cmp_7c7de8d81ea6d599 | NOX4 | MID
[319/535] cmp_b7d656406a597ffb | TGFB1 | CSA
[320/535] cmp_e01ad3a44536e51d | TGFB1 | MID
[321/535] cmp_85faf3a0b6ca771b | TNFSF13 | CSA
[322/535] cmp_4758a5251b43a59e | TNFSF13 | MID
[323/535] cmp_0b17ee7489ac54ca | ABCC8 | CSA
[324/535] cmp_223b568c06092c55 | ABCC8 | MID
[325/535] cmp_37c0ac2fbeb228a3 | CALCR | CSA
[326/535] cmp_57c63ef2b5ef7070 | CALCR | MID
[327/535] cmp_6a904cea8c198f4a | DGAT1 | CSA
[328/535] cmp_306964470290b51d | DGAT1 | MID
[329/535] cmp_bab5bd13549c5f36 | FBP1 | CSA
[330/535] cmp_8f2a85acfe648bc5 | FBP1 | MID
[331/535] cmp_8adf4710e2782856 | FGFR1 | CSA
[332/535] cmp_142d585f2ea87871 | FGFR1 | MID
[333/535] cmp_bf830db4e9234461 | FGFR4 | CSA
[334/535] cmp_cff4771d4355b9b7 | FGFR4 | MID
[335/535] cmp_83160b2c36c5fa39 | GDF15 | CSA
[336/535] cmp_e15f0ef829b34627 | GDF15 | MID
[337/535] cmp_b64efda1167deddf | GIPR | CSA
[338/535] cmp_ee4314019136489d | GIPR | MID
[339/535] cmp_37db73ea4c934f3c | GLP2R | CSA
[340/535] cmp_72d107e6632670b8 | GLP2R | MID
[341/535] cmp_3552ef9b3fb99214 | INSR | CSA
[342/535] cmp_15a7a765705b782f | INSR | MID
[343/535] cmp_68f8d41b84d58c8a | KCNJ11 | CSA
[344/535] cmp_e380c446557d34be | KCNJ11 | MID
[345/535] cmp_5cfdc7606e7a16f9 | MC4R | CSA
[346/535] cmp_d1217cd6a4818f90 | MC4R | MID
[347/535] cmp_aaaa193eeac0390a | METAP2 | CSA
[348/535] cmp_61439641aadb462c | METAP2 | MID
[349/535] cmp_4ab05482f9c4b139 | PPARG | CSA
[350/535] cmp_d98864543ce360b3 | PPARG | MID
[351/535] cmp_9624dc3325f3a7e0 | SELE | CSA
[352/535] cmp_b84006e836ae2cc3 | SELE | MID
[353/535] cmp_0c0089ac5cd5de30 | SREBF1 | CSA
[354/535] cmp_58426512e8b1ab61 | SREBF1 | MID
[355/535] cmp_ba35246f787ddd2f | TP53 | CSA
[356/535] cmp_a3680a01bb140f75 | TP53 | MID
[357/535] cmp_593ae8985cf9fb81 | VEGFA | CSA
[358/535] cmp_29a6d39cecffd0ba | VEGFA | MID
[359/535] cmp_87e10582fe372d26 | JAK2 | CSA
[360/535] cmp_34b9528111678889 | ACVRL1 | CSA
[361/535] cmp_5893667a5f1fbc6e | BCL2 | CSA
[362/535] cmp_d70cfe319e602e5c | DYRK3 | CSA
[363/535] cmp_5636a0aa0df77617 | EGLN1 | CSA
[364/535] cmp_2c670ce121f4e2ed | EGLN2 | CSA
[365/535] cmp_cdc7ff976577622c | EGLN3 | CSA
[366/535] cmp_cf9640399f1b67f3 | EPOR | CSA
[367/535] cmp_216fcd5d6898b635 | HAMP | CSA
[368/535] cmp_26e7bee77129079a | IL6 | CSA
[369/535] cmp_33e4f0a27f768357 | PKLR | CSA
[370/535] cmp_e5dfc0ddc27b5597 | SLC40A1 | CSA
[371/535] cmp_836c47786aded226 | ESR1 | CSA
[372/535] cmp_1c639976f96dce20 | GHRHR | CSA
[373/535] cmp_d642ad82b0d16e5e | SOST | CSA
[374/535] cmp_dae661d54c93c969 | ABCA1 | CSA
[375/535] cmp_ba79e47f387626ac | ADRB1 | CSA
[376/535] cmp_9f69821411a167c6 | ADRB2 | CSA
[377/535] cmp_d763b6b831bf0c0e | ANGPTL8 | CSA
[378/535] cmp_d17bec475888ffb1 | APOA1 | CSA
[379/535] cmp_89cac3a7cbb61501 | APOC3 | CSA
[380/535] cmp_23670cc5cddedef4 | APOE | CSA
[381/535] cmp_9d3113c9f8e31c30 | CETP | CSA
[382/535] cmp_ecfb4236612a906f | DGAT2 | CSA
[383/535] cmp_649ff2cca8b15f4c | FDFT1 | CSA
[384/535] cmp_dfc2133ab2f65f25 | HCAR2 | CSA
[385/535] cmp_4f0b16a4a72c0368 | HCAR3 | CSA
[386/535] cmp_f91dafdc919ddc0c | HMGCR | CSA
[387/535] cmp_c5f9b26ab4ae44ee | LPA | CSA
[388/535] cmp_50d16dc72ee800c1 | MTTP | CSA
[389/535] cmp_86c7093bdb7c0808 | NR1H3 | CSA
[390/535] cmp_66552b49512bb3db | NR1H4 | CSA
[391/535] cmp_7e3415964666180a | PCSK9 | CSA
[392/535] cmp_697c494077f63f4a | PPARG | CSA
